month,commodity,price,quantity
1972-05-31,Grapes,3.56,137
1972-05-31,Oranges,1.7,4625
1972-05-31,Strawberries,6.21,931
1972-06-30,Apples,1.98,6420
1972-06-30,Grapes,3.51,171
1972-06-30,Oranges,1.78,3970
1972-06-30,Peaches,4.69,104
1972-06-30,Strawberries,3.98,3642
1972-07-31,Apples,2.07,5157
1972-07-31,Grapes,2.73,202
1972-07-31,Oranges,1.89,4078
1972-07-31,Peaches,3.32,604
1972-07-31,Strawberries,4.3,2533
1972-08-31,Apples,2.12,3881
1972-08-31,Grapes,1.65,3269
1972-08-31,Oranges,1.91,2883
1972-08-31,Peaches,2.29,7378
1972-09-30,Apples,1.73,4917
1972-09-30,Grapes,1.15,6111
1972-09-30,Oranges,1.92,2957
1972-09-30,Peaches,1.9,5839
1972-10-31,Apples,1.56,6872
1972-10-31,Grapes,1.15,5964
1972-10-31,Oranges,1.95,3759
1972-10-31,Peaches,1.97,1006
1972-11-30,Apples,1.56,8490
1972-11-30,Grapes,1.46,2824
1972-11-30,Oranges,1.94,8238
1972-12-31,Apples,1.49,5211
1972-12-31,Grapes,1.73,731
1972-12-31,Oranges,1.64,11827
1973-01-31,Apples,1.68,4051
1973-01-31,Grapes,1.62,250
1973-01-31,Oranges,1.69,12206
1973-02-28,Apples,1.82,4909
1973-02-28,Grapes,2.16,102
1973-02-28,Oranges,1.69,11698
1973-03-31,Apples,1.89,5567
1973-03-31,Grapes,3.02,30
1973-03-31,Oranges,1.74,10438
1973-04-30,Apples,2,6253
1973-04-30,Grapes,3.45,25
1973-04-30,Oranges,1.91,6593
1973-05-31,Apples,2.14,6101
1973-05-31,Grapes,3.08,220
1973-05-31,Oranges,2.03,4926
1973-05-31,Strawberries,7.17,1033
1973-06-30,Apples,2.23,7023
1973-06-30,Grapes,3.07,252
1973-06-30,Oranges,2.13,4307
1973-06-30,Peaches,6.4,111
1973-06-30,Strawberries,4.53,4085
1973-07-31,Apples,2.35,5671
1973-07-31,Grapes,2.41,266
1973-07-31,Oranges,2.22,4418
1973-07-31,Peaches,4.31,653
1973-07-31,Strawberries,5.19,2877
1973-08-31,Apples,2.4,4187
1973-08-31,Grapes,1.49,4813
1973-08-31,Oranges,2.26,3165
1973-08-31,Peaches,2.98,7856
1973-09-30,Apples,2.09,5446
1973-09-30,Grapes,1.08,8803
1973-09-30,Oranges,2.22,3211
1973-09-30,Peaches,2.21,6291
1973-10-31,Apples,2.03,7377
1973-10-31,Grapes,1.08,8778
1973-10-31,Oranges,2.31,4007
1973-10-31,Peaches,2.18,1073
1973-11-30,Apples,2.05,9283
1973-11-30,Grapes,1.36,4517
1973-11-30,Oranges,2.34,8833
1973-12-31,Apples,1.9,4955
1973-12-31,Grapes,1.57,1073
1973-12-31,Oranges,1.97,12558
